filename,start_seconds,end_seconds,positive_labels
4gqARaEJE_0.000.wav,0.0,10.0,"/m/068hy,/m/07q6cd_,/m/0bt9lr,/m/0jbk"
BfvyPmVMo_20.000.wav,20.0,30.0,/m/03l9g
U7joUcTCo_0.000.wav,0.0,10.0,/m/01b_21
i-y1v8Hy8_0.000.wav,0.0,9.0,"/m/04rlf,/m/09x0r,/t/dd00004,/t/dd00005"
0BIyqJj9ZU_30.000.wav,30.0,40.0,"/m/07rgt08,/m/07sq110,/t/dd00001"
0CamVQdP_Y_0.000.wav,0.0,6.0,"/m/04rlf,/m/07pbtc8,/m/09x0r"
0Gj8-vB1q4_30.000.wav,30.0,40.0,"/m/0140xf,/m/02cjck,/m/04rlf"
0RWZT-miFs_420.000.wav,420.0,430.0,"/m/03v3yw,/m/0k4j"
0YUDn-1yII_30.000.wav,30.0,40.0,"/m/02cjck,/m/04rlf"
0jeONf82dE_21.000.wav,21.0,31.0,"/m/03k3r,/m/04rlf,/m/07q5rw0,/m/09x0r,/m/0jbk"
0nqfRcnAYE_370.000.wav,370.0,380.0,/m/04brg2
0p7hKXZ1ww_30.000.wav,30.0,40.0,"/g/122z_qxw,/m/09x0r"
0vPFx-wRRI_30.000.wav,30.0,40.0,"/m/025_jnm,/m/04rlf"
0xzrMun0Rs_30.000.wav,30.0,40.0,"/m/01g90h,/m/04rlf"
0yRK50zyTI_30.000.wav,30.0,40.0,"/m/07pzfmf,/m/09x0r"
116CjQ3MAg_160.000.wav,160.0,170.0,"/m/015p6,/m/0chx_,/t/dd00128"
1EXhfqLLwQ_150.000.wav,150.0,160.0,"/m/03dnzn,/m/068hy,/m/07p7b8y,/m/07ptzwd,/m/0838f,/m/0jbk,/t/dd00088"
1Hub6Ps_cc_10.000.wav,10.0,20.0,"/m/0130jx,/m/02jz0l,/m/09x0r,/m/0k65p,/t/dd00125"
1II0Di9Hkc_30.000.wav,30.0,40.0,"/m/04rlf,/m/06bz3"
1LQP2wemiQ_30.000.wav,30.0,40.0,"/m/02fs_r,/m/02zsn,/m/09x0r"
1OlgJWehn8_30.000.wav,30.0,40.0,"/m/04rlf,/m/06bz3"
1PZQg5Gi8A_30.000.wav,30.0,40.0,/m/07pjjrj
1UWSisR2zo_30.000.wav,30.0,40.0,"/m/04rlf,/m/0xzly"
1hDIl9Udkw_30.000.wav,30.0,40.0,"/m/04rlf,/m/07qn4z3,/m/09x0r"
1nilez17Dg_30.000.wav,30.0,40.0,"/m/01jg1z,/m/09x0r"
1pRmoJIGQc_10.000.wav,10.0,20.0,"/m/01h82_,/m/02mk9,/m/07pb8fc"
21_SXelVNo_30.000.wav,30.0,40.0,"/m/07ppn3j,/m/09x0r"
22tna7KHzI_28.000.wav,28.0,38.0,/m/014zdl
2EKWgTNEYU_30.000.wav,30.0,40.0,/m/06bz3
2RPPODqLy4_30.000.wav,30.0,40.0,"/m/01glhc,/m/0342h,/m/042v_gx,/m/04rlf,/m/07s0s5r,/m/09x0r,/m/0fx80y"
2sE5CH8Wb8_30.000.wav,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9"
2xiZDEuHd8_30.000.wav,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00018"
3-4qmWSJXU_30.000.wav,30.0,40.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038"
36qTeAdDMI_130.000.wav,130.0,140.0,"/m/07cx4,/m/09x0r,/t/dd00125"
3Kv4fdm7Uk_30.000.wav,30.0,40.0,"/m/04rlf,/m/04szw,/m/0l156b"
3YWuPXHknk_30.000.wav,30.0,40.0,"/m/02mk9,/t/dd00130"
3nXxwBlX5A_20.000.wav,20.0,30.0,/m/04wptg
3nyUrKWFEE_210.000.wav,210.0,220.0,"/m/06hck5,/m/06wzb"
3rHVsIj1M8_30.000.wav,30.0,40.0,"/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092"
3z5mFRgbxc_30.000.wav,30.0,40.0,"/m/01bjv,/m/07yv9,/m/09x0r,/m/0btp2"
47nPCeukVc_1.000.wav,1.0,11.0,"/m/07yv9,/m/0gvgw0"
4SYC2YgzL8_30.000.wav,30.0,40.0,"/m/04rlf,/m/04wptg,/m/0ggq0m"
4kkGS4-qVM_10.000.wav,10.0,20.0,"/m/01wy6,/m/085jw,/m/0l14l2"
4pmCrSdMhg_30.000.wav,30.0,40.0,"/m/04rlf,/m/07rv9rh,/m/09x0r"
4viN_EoxOA_0.000.wav,0.0,10.0,"/m/01kcd,/m/06ncr"
53zl3bPmpM_210.000.wav,210.0,220.0,"/m/04rlf,/m/07pws3f,/m/09x0r"
5CGQGSFGyg_60.000.wav,60.0,70.0,"/m/013y1f,/m/01s0ps,/m/03xq_f,/m/05148p4,/m/05r5c"
5FoeegAgvU_230.000.wav,230.0,240.0,"/m/04rlf,/m/07rrh0c"
5PZ_Bh-M6o_180.000.wav,180.0,190.0,/m/01jg02
65CfQUX9Ng_10.000.wav,10.0,20.0,/m/07prgkl
6Aq2fJwlgU_510.000.wav,510.0,520.0,"/m/07pjjrj,/m/07rdhzs"
6GcdDStIwM_21.000.wav,21.0,31.0,"/m/08j51y,/m/0c1dj"
6HBGg1cAI0_30.000.wav,30.0,40.0,"/m/02p0sh1,/m/04rlf,/m/06j64v"
6JnAxTXApw_30.000.wav,30.0,40.0,/m/0chx_
6cTEqIcics_30.000.wav,30.0,40.0,"/m/03kmc9,/m/0dgbq"
7B9tPuIP-w_450.000.wav,450.0,460.0,"/m/0155w,/m/04rlf,/m/07sr1lc"
7IhwezUrUA_590.000.wav,590.0,600.0,/m/023pjk
7TanrCbmME_30.000.wav,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00005"
7YESdyyHVw_10.000.wav,10.0,20.0,/m/0239kh
7eDqv-6AKQ_30.000.wav,30.0,40.0,"/m/07yv9,/m/0gvgw0,/m/0k4j"
7vpNApSN8g_70.000.wav,70.0,80.0,"/m/08j51y,/t/dd00125"
88me9bBzrk_30.000.wav,30.0,40.0,"/m/015vgc,/m/04rlf"
8C-gydUbR8_30.000.wav,30.0,40.0,"/m/04rlf,/t/dd00003,/t/dd00004,/t/dd00005"
8Ds_ZrtQ9M_20.000.wav,20.0,30.0,/m/02x984l
8Mzg0pjOzc_30.000.wav,30.0,40.0,"/m/04rlf,/m/08j51y,/m/09x0r"
8cgbhIR_pw_30.000.wav,30.0,40.0,"/m/042v_gx,/m/04rlf,/m/04szw,/m/06w87,/m/07s0s5r,/m/0fx80y,/t/dd00034"
8pCMgGKZY8_12.000.wav,12.0,22.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
8s8gqSkRzI_30.000.wav,30.0,40.0,/m/07s0dtb
95a1RB0jHs_30.000.wav,30.0,40.0,"/m/014zdl,/m/07pxg6y"
98gqe2LWcg_14.000.wav,14.0,24.0,"/m/04k94,/m/0dv3j"
9O1cb8z7Mk_0.000.wav,0.0,10.0,/m/02z32qm
9mHz0OsKKw_0.000.wav,0.0,10.0,"/m/07qv_d5,/m/07yv9,/m/0k4j,/t/dd00128"
9phJ0sJrXg_14.000.wav,14.0,24.0,/t/dd00006
A-Un_X21lU_230.000.wav,230.0,240.0,"/m/01b82r,/m/07pdjhy,/m/083vt"
A1o1Egi20c_60.000.wav,60.0,70.0,/m/03w41f
